GAME_ID,BLUE_WIN,BLUE_KILLS,RED_KILLS,BLUE_DEATHS,RED_DEATHS,RED_ASSISTS,BLUE_ASSISTS,BLUE_WARDS_PLACED,RED_WARDS_PLACED,BLUE_WARDS_DESTROYED,RED_WARDS_DESTROYED,BLUE_DRAGONS,RED_DRAGONS,BLUE_BARONS,RED_BARONS,BLUE_TOWERS,RED_TOWERS,BLUE_ELITE_MONSTERS,RED_ELITE_MONSTERS,BLUE_TEAM_GOLD,RED_TEAM_GOLD,BLUE_TEAM_LEVEL,RED_TEAM_LEVEL,BLUE_TEAM_CS,RED_TEAM_CS,BLUE_TEAAM_CS_PER_MINUTE,RED_TEAAM_CS_PER_MINUTE,BLUE_GOLD_DIFF,RED_GOLD_DIFF,BLUE_GOLD_PER_MIN,RED_GOLD_PER_MIN,BLUE_TEAM_TOP,BLUE_TEAM_JNG,BLUE_TEAM_MID,BLUE_TEAM_ADC,BLUE_TEAM_SUP,RED_TEAM_TOP,RED_TEAM_JNG,RED_TEAM_MID,RED_TEAM_ADC,RED_TEAM_SUP,BLLUE_TEAM_TOP_ITEM_1,BLLUE_TEAM_TOP_ITEM_2,BLLUE_TEAM_TOP_ITEM_3,BLLUE_TEAM_TOP_ITEM_4,BLLUE_TEAM_TOP_ITEM_5,BLLUE_TEAM_TOP_ITEM_6,BLLUE_TEAM_TOP_ITEM_VISION,BLLUE_TEAM_JNG_ITEM_1,BLLUE_TEAM_JNG_ITEM_2,BLLUE_TEAM_JNG_ITEM_3,BLLUE_TEAM_JNG_ITEM_4,BLLUE_TEAM_JNG_ITEM_5,BLLUE_TEAM_JNG_ITEM_6,BLLUE_TEAM_JNG_ITEM_VISION,BLLUE_TEAM_MID_ITEM_1,BLLUE_TEAM_MID_ITEM_2,BLLUE_TEAM_MID_ITEM_3,BLLUE_TEAM_MID_ITEM_4,BLLUE_TEAM_MID_ITEM_5,BLLUE_TEAM_MID_ITEM_6,BLLUE_TEAM_MID_ITEM_VISION,BLLUE_TEAM_ADC_ITEM_1,BLLUE_TEAM_ADC_ITEM_2,BLLUE_TEAM_ADC_ITEM_3,BLLUE_TEAM_ADC_ITEM_4,BLLUE_TEAM_ADC_ITEM_5,BLLUE_TEAM_ADC_ITEM_6,BLLUE_TEAM_ADC_ITEM_VISION,BLLUE_TEAM_SUP_ITEM_1,BLLUE_TEAM_SUP_ITEM_2,BLLUE_TEAM_SUP_ITEM_3,BLLUE_TEAM_SUP_ITEM_4,BLLUE_TEAM_SUP_ITEM_5,BLLUE_TEAM_SUP_ITEM_6,BLLUE_TEAM_SUP_ITEM_VISION,RED_TEAM_TOP_ITEM_1,RED_TEAM_TOP_ITEM_2,RED_TEAM_TOP_ITEM_3,RED_TEAM_TOP_ITEM_4,RED_TEAM_TOP_ITEM_5,RED_TEAM_TOP_ITEM_6,RED_TEAM_TOP_ITEM_VISION,RED_TEAM_JNG_ITEM_1,RED_TEAM_JNG_ITEM_2,RED_TEAM_JNG_ITEM_3,RED_TEAM_JNG_ITEM_4,RED_TEAM_JNG_ITEM_5,RED_TEAM_JNG_ITEM_6,RED_TEAM_JNG_ITEM_VISION,RED_TEAM_MID_ITEM_1,RED_TEAM_MID_ITEM_2,RED_TEAM_MID_ITEM_3,RED_TEAM_MID_ITEM_4,RED_TEAM_MID_ITEM_5,RED_TEAM_MID_ITEM_6,RED_TEAM_MID_ITEM_VISION,RED_TEAM_ADC_ITEM_1,RED_TEAM_ADC_ITEM_2,RED_TEAM_ADC_ITEM_3,RED_TEAM_ADC_ITEM_4,RED_TEAM_ADC_ITEM_5,RED_TEAM_ADC_ITEM_6,RED_TEAM_ADC_ITEM_VISION,RED_TEAM_SUP_ITEM_1,RED_TEAM_SUP_ITEM_2,RED_TEAM_SUP_ITEM_3,RED_TEAM_SUP_ITEM_4,RED_TEAM_SUP_ITEM_5,RED_TEAM_SUP_ITEM_6,RED_TEAM_SUP_ITEM_VISION,BLUE_TEAM_TOP_RUNE_01,BLUE_TEAM_TOP_RUNE_02,BLUE_TEAM_JNG_RUNE_01,BLUE_TEAM_JNG_RUNE_02,BLUE_TEAM_MID_RUNE_01,BLUE_TEAM_MID_RUNE_02,BLUE_TEAM_ADC_RUNE_01,BLUE_TEAM_ADC_RUNE_02,BLUE_TEAM_SUP_RUNE_01,BLUE_TEAM_SUP_RUNE_02,RED_TEAM_TOP_RUNE_01,RED_TEAM_TOP_RUNE_02,RED_TEAM_JNG_RUNE_01,RED_TEAM_JNG_RUNE_02,RED_TEAM_MID_RUNE_01,RED_TEAM_MID_RUNE_02,RED_TEAM_ADC_RUNE_01,RED_TEAM_ADC_RUNE_02,RED_TEAM_SUP_RUNE_01,RED_TEAM_SUP_RUNE_02,BLUE_TEAM_TOP_SUMMONER_01,BLUE_TEAM_TOP_SUMMONER_02,BLUE_TEAM_JNG_SUMMONER_01,BLUE_TEAM_JNG_SUMMONER_02,BLUE_TEAM_MID_SUMMONER_01,BLUE_TEAM_MID_SUMMONER_02,BLUE_TEAM_ADC_SUMMONER_01,BLUE_TEAM_ADC_SUMMONER_02,BLUE_TEAM_SUP_SUMMONER_01,BLUE_TEAM_SUP_SUMMONER_02,RED_TEAM_TOP_SUMMONER_01,RED_TEAM_TOP_SUMMONER_02,RED_TEAM_JNG_SUMMONER_01,RED_TEAM_JNG_SUMMONER_02,RED_TEAM_MID_SUMMONER_01,RED_TEAM_MID_SUMMONER_02,RED_TEAM_ADC_SUMMONER_01,RED_TEAM_ADC_SUMMONER_02,RED_TEAM_SUP_SUMMONER_01,RED_TEAM_SUP_SUMMONER_02,BLUE_TEAM_RIFT_HERALDS,BLUE_TEAM_VOID_GRUBS,BLUE_TEAM_INHIBITORS,RED_TEAM_RIFT_HERALDS,RED_TEAM_VOID_GRUBS,RED_TEAM_INHIBITORS
https://www.op.gg/summoners/euw/Hannover-EUW/matches/uRd1PvnOddqBdTiiEuzgyr8E6epRIqlzOk2LlKaHUAU%3D/1734623762000,0,20,34,35,20,38,23,43,54,9,14,0,2,0,1,2,5,0,3,40459,48433,11.8,13.0,596,651,27.0,29.6,-7974,7974,1840.9915343915343,2203.8296296296294,Ambessa,Wukong,Ahri,Corki,Karma,K'Sante,Elise,Naafiri,Ezreal,Pyke,Doran's Blade,Eclipse,Black Cleaver,Ruby Crystal,Boots,No_Item,Stealth Ward,Pickaxe,Trinity Force,Sundered Sky,Long Sword,Slightly Magical Footwear,No_Item,Oracle Lens,Horizon Focus,Sorcerer's Shoes,Dark Seal,Malignance,Doran's Ring,Amplifying Tome,Farsight Alteration,Doran's Blade,Plated Steelcaps,Long Sword,Muramana,Long Sword,Trinity Force,Farsight Alteration,Redemption,Celestial Opposition,Glowing Mote,Ionian Boots of Lucidity,Moonstone Renewer,Control Ward,Oracle Lens,Iceborn Gauntlet,Plated Steelcaps,Doran's Shield,"Jak'Sho, The Protean",Unending Despair,Spectre's Cowl,Stealth Ward,Shadowflame,Stormsurge,Sorcerer's Shoes,Dark Seal,No_Item,No_Item,Oracle Lens,Synchronized Souls,Doran's Shield,Eclipse,Serrated Dirk,No_Item,Profane Hydra,Oracle Lens,Doran's Blade,Ionian Boots of Lucidity,Pickaxe,Trinity Force,Muramana,Long Sword,Farsight Alteration,Umbral Glaive,Synchronized Souls,Celestial Opposition,Serpent's Fang,Control Ward,No_Item,Oracle Lens,Conqueror,Domination,Conqueror,Inspiration,Electrocute,Sorcery,Conqueror,Inspiration,Summon Aery,Resolve,Grasp of the Undying,Inspiration,Dark Harvest,Precision,Arcane Comet,Domination,Press the Attack,Inspiration,Hail of Blades,Resolve,Flash,Teleport,Flash,Smite,Flash,Teleport,Flash,Barrier,Heal,Flash,Ghost,Teleport,Flash,Smite,Flash,Teleport,Flash,Barrier,Ignite,Flash,0,0,0,0,6,0
https://www.op.gg/summoners/euw/Hannover-EUW/matches/uRd1PvnOddpel_AqiwCK52foUKVEAMeIiSb4eqo8vwo%3D/1734621210000,1,28,11,12,29,18,44,80,42,18,18,1,2,1,0,10,2,2,2,56396,42853,14.2,12.2,874,753,35.5,30.6,13543,-13543,2285.6528634361234,1736.7735682819382,Singed,Wukong,Yone,Ziggs,Pyke,Cho'Gath,Dr. Mundo,Veigar,Sivir,Lulu,Riftmaker,Boots of Swiftness,Liandry's Torment,Giant's Belt,Dark Seal,Amplifying Tome,Farsight Alteration,Black Cleaver,Trinity Force,No_Item,Sundered Sky,Mercury's Treads,No_Item,Oracle Lens,Doran's Shield,Refillable Potion,Noonquiver,Berserker's Greaves,Blade of The Ruined King,Wit's End,Farsight Alteration,Oblivion Orb,Tear of the Goddess,Sorcerer's Shoes,Blackfire Torch,Liandry's Torment,Amplifying Tome,Farsight Alteration,Umbral Glaive,Synchronized Souls,Bloodsong,No_Item,Long Sword,Serpent's Fang,Oracle Lens,Locket of the Iron Solari,Heartsteel,Plated Steelcaps,Doran's Ring,Cloth Armor,No_Item,Oracle Lens,No_Item,Ruby Crystal,Plated Steelcaps,Spirit Visage,Unending Despair,Heartsteel,Oracle Lens,Shurelya's Battlesong,Doran's Ring,Rabadon's Deathcap,Tear of the Goddess,Fiendish Codex,Ionian Boots of Lucidity,Farsight Alteration,Boots of Swiftness,Cull,Doran's Blade,Essence Reaver,Infinity Edge,No_Item,Farsight Alteration,Dream Maker,Refillable Potion,Forbidden Idol,Moonstone Renewer,Ionian Boots of Lucidity,Ruby Crystal,Oracle Lens,Phase Rush,Resolve,Conqueror,Inspiration,Lethal Tempo,Resolve,Arcane Comet,Precision,Hail of Blades,Resolve,Grasp of the Undying,Domination,Fleet Footwork,Inspiration,First Strike,Sorcery,Lethal Tempo,Sorcery,Summon Aery,Resolve,Ghost,Flash,Smite,Flash,Flash,Teleport,Flash,Teleport,Ignite,Flash,Teleport,Flash,Smite,Flash,Flash,Teleport,Ghost,Flash,Heal,Flash,1,6,2,0,0,0
https://www.op.gg/summoners/euw/Hannover-EUW/matches/uRd1PvnOddrsCLA7pgkknVG9RT7JtVq4ZGMjeukPvyw%3D/1734616731000,0,44,52,52,45,93,60,142,89,35,46,2,3,1,1,8,8,3,4,81485,80765,17.4,17.6,1140,1097,28.9,27.8,720,-720,2063.929276315789,2045.6924342105262,Cho'Gath,Wukong,Syndra,Corki,Pyke,Singed,Teemo,Veigar,Tahm Kench,Bard,Null-Magic Mantle,"Jak'Sho, The Protean",Cosmic Drive,Force of Nature,Mercury's Treads,Rod of Ages,Farsight Alteration,Trinity Force,Maw of Malmortius,Control Ward,Sundered Sky,Force of Nature,Mercury's Treads,Oracle Lens,Cosmic Drive,Stormsurge,Void Staff,Liandry's Torment,Blackfire Torch,Rabadon's Deathcap,Farsight Alteration,Trinity Force,Mercury's Treads,Rapid Firecannon,Muramana,Infinity Edge,Bloodthirster,Farsight Alteration,Mercury's Treads,Bloodsong,Umbral Glaive,Kaenic Rookern,Abyssal Mask,Serrated Dirk,Oracle Lens,Rylai's Crystal Scepter,Boots of Swiftness,Zhonya's Hourglass,Abyssal Mask,Mejai's Soulstealer,Liandry's Torment,Oracle Lens,Liandry's Torment,Nashor's Tooth,Shadowflame,Void Staff,Boots of Swiftness,Rabadon's Deathcap,Oracle Lens,Infinity Edge,Trinity Force,Rapid Firecannon,Muramana,Vampiric Scepter,Boots of Swiftness,Farsight Alteration,Titanic Hydra,"Jak'Sho, The Protean",Heartsteel,No_Item,Boots of Swiftness,Null-Magic Mantle,Farsight Alteration,Dead Man's Plate,Plated Steelcaps,Bloodsong,Statikk Shiv,Kaenic Rookern,Haunting Guise,Oracle Lens,Phase Rush,Inspiration,Conqueror,Inspiration,Arcane Comet,Inspiration,Conqueror,Inspiration,Hail of Blades,Sorcery,Phase Rush,Resolve,Press the Attack,Inspiration,Press the Attack,Inspiration,Grasp of the Undying,Inspiration,Guardian,Inspiration,Teleport,Flash,Flash,Smite,Flash,Teleport,Cleanse,Flash,Ignite,Flash,Flash,Ghost,Flash,Smite,Flash,Teleport,Teleport,Flash,Ignite,Flash,1,6,0,0,0,1
https://www.op.gg/summoners/euw/Hannover-EUW/matches/uRd1PvnOddoTlXyF7Ua0DpAqmJvR7fMks8CdItI_jcs%3D/1734546131000,0,9,30,30,9,28,12,20,45,6,4,0,1,0,0,0,4,0,1,31251,41536,10.4,11.6,552,595,29.5,31.6,-10285,10285,1668.1277027027027,2217.1243243243243,Smolder,Diana,Aurora,Akshan,Sion,Riven,Nidalee,Cassiopeia,Yasuo,Pyke,Hubris,Cloak of Agility,Ionian Boots of Lucidity,Dagger,No_Item,Doran's Blade,Farsight Alteration,Needlessly Large Rod,Nashor's Tooth,Sorcerer's Shoes,Needlessly Large Rod,Aether Wisp,Glowing Mote,Oracle Lens,Malignance,Sorcerer's Shoes,Dark Seal,Fiendish Codex,No_Item,No_Item,Stealth Ward,Doran's Blade,Refillable Potion,Boots,Statikk Shiv,The Collector,Dagger,Stealth Ward,World Atlas,Boots,Knight's Vow,Cloth Armor,Ruby Crystal,No_Item,Oracle Lens,Eclipse,Refillable Potion,Sundered Sky,Ionian Boots of Lucidity,Long Sword,Doran's Blade,Oracle Lens,Control Ward,Hextech Rocketbelt,Zhonya's Hourglass,Dark Seal,Sorcerer's Shoes,No_Item,Oracle Lens,Archangel's Staff,Rylai's Crystal Scepter,No_Item,Shattered Armguard,Doran's Ring,No_Item,Stealth Ward,Noonquiver,Pickaxe,No_Item,Kraken Slayer,Berserker's Greaves,Doran's Shield,Farsight Alteration,Umbral Glaive,Synchronized Souls,Bloodsong,Serrated Dirk,Rectrix,Long Sword,Oracle Lens,Arcane Comet,Inspiration,Conqueror,Inspiration,Electrocute,Precision,Press the Attack,Resolve,Grasp of the Undying,Inspiration,Conqueror,Inspiration,Dark Harvest,Precision,Conqueror,Sorcery,Lethal Tempo,Resolve,Hail of Blades,Resolve,Teleport,Flash,Smite,Flash,Flash,Teleport,Flash,Teleport,Flash,Smite,Ignite,Flash,Smite,Flash,Flash,Teleport,Flash,Exhaust,Ignite,Flash,0,3,0,1,3,0
https://www.op.gg/summoners/euw/Hannover-EUW/matches/uRd1PvnOddoqLel6lUNgazy9NI9EO_CDd9RUPedqzeQ%3D/1734520036000,0,18,37,38,18,55,29,67,67,16,26,0,4,0,1,2,9,0,5,48378,59935,13.2,14.6,789,822,29.0,30.2,-11557,11557,1769.9268292682927,2192.7439024390246,Ekko,Jarvan IV,Viktor,Ezreal,Braum,Akali,Warwick,Yone,Corki,Nautilus,Sorcerer's Shoes,Hextech Rocketbelt,Nashor's Tooth,Amplifying Tome,Dark Seal,Needlessly Large Rod,Stealth Ward,Cloth Armor,Kindlegem,Negatron Cloak,Eclipse,Sundered Sky,Mercury's Treads,Stealth Ward,Blasting Wand,Doran's Ring,Luden's Companion,Sorcerer's Shoes,Blighting Jewel,Rabadon's Deathcap,Farsight Alteration,Doran's Blade,Caulfield's Warhammer,No_Item,Trinity Force,Muramana,Ionian Boots of Lucidity,Farsight Alteration,Randuin's Omen,Locket of the Iron Solari,Celestial Opposition,Plated Steelcaps,No_Item,No_Item,Oracle Lens,Zhonya's Hourglass,Dark Seal,Blighting Jewel,Sorcerer's Shoes,Stormsurge,Shadowflame,Oracle Lens,Stridebreaker,Mercury's Treads,Spirit Visage,Ruby Crystal,Pickaxe,Ruby Crystal,Oracle Lens,Infinity Edge,No_Item,Blade of The Ruined King,Immortal Shieldbow,Berserker's Greaves,Doran's Shield,Oracle Lens,Doran's Blade,Muramana,Trinity Force,Rapid Firecannon,Plated Steelcaps,Pickaxe,Farsight Alteration,Bloodsong,Locket of the Iron Solari,Knight's Vow,Control Ward,Boots of Swiftness,No_Item,Oracle Lens,Arcane Comet,Domination,Conqueror,Inspiration,Summon Aery,Resolve,Press the Attack,Inspiration,Guardian,Inspiration,Electrocute,Resolve,Press the Attack,Sorcery,Lethal Tempo,Resolve,Conqueror,Inspiration,Aftershock,Inspiration,Teleport,Flash,Smite,Flash,Flash,Teleport,Flash,Barrier,Exhaust,Flash,Teleport,Ignite,Flash,Smite,Teleport,Flash,Flash,Barrier,Flash,Ignite,0,3,0,1,3,0
https://www.op.gg/summoners/euw/Hannover-EUW/matches/uRd1PvnOddpYxKS0p8zQDm_04OKjbjBYgBlbZyJMfAA%3D/1734517370000,1,17,12,12,17,15,25,41,50,15,10,0,2,0,0,4,2,0,2,40645,38495,12.2,11.6,656,691,30.1,31.7,2150,-2150,1869.6699999999998,1770.77,Ambessa,Wukong,Aurora,Caitlyn,Bard,K'Sante,Viego,Tahm Kench,Azir,Janna,Doran's Shield,Refillable Potion,Voltaic Cyclosword,Tunneler,Boots of Swiftness,Ruby Crystal,Farsight Alteration,Black Cleaver,Trinity Force,Control Ward,Long Sword,Ruby Crystal,Slightly Magical Footwear,Oracle Lens,Doran's Ring,Mejai's Soulstealer,Amplifying Tome,Liandry's Torment,Malignance,Ionian Boots of Lucidity,Farsight Alteration,Doran's Blade,Berserker's Greaves,Yun Tal Wildarrows,Lord Dominik's Regards,Control Ward,No_Item,Farsight Alteration,Dead Man's Plate,Haunting Guise,Bloodsong,No_Item,Slightly Magical Footwear,Amplifying Tome,Oracle Lens,Unending Despair,Plated Steelcaps,Iceborn Gauntlet,Kindlegem,Spectre's Cowl,Doran's Shield,Oracle Lens,Titanic Hydra,No_Item,Slightly Magical Footwear,Cloth Armor,Kraken Slayer,No_Item,Stealth Ward,Heartsteel,Chain Vest,Boots of Swiftness,Kindlegem,Ruby Crystal,No_Item,Farsight Alteration,Doran's Ring,Refillable Potion,Liandry's Torment,Nashor's Tooth,Sorcerer's Shoes,No_Item,Farsight Alteration,Echoes of Helia,Boots of Swiftness,Dream Maker,Dark Seal,Bandleglass Mirror,Kindlegem,Oracle Lens,Grasp of the Undying,Domination,Conqueror,Inspiration,Electrocute,Sorcery,Lethal Tempo,Sorcery,Guardian,Inspiration,Grasp of the Undying,Inspiration,Conqueror,Inspiration,Grasp of the Undying,Inspiration,Summon Aery,Precision,Summon Aery,Domination,Flash,Teleport,Flash,Smite,Flash,Teleport,Flash,Ghost,Ignite,Flash,Flash,Teleport,Flash,Smite,Teleport,Flash,Flash,Teleport,Flash,Heal,0,3,0,1,3,0
https://www.op.gg/summoners/euw/Hannover-EUW/matches/uRd1PvnOddpDURe_sUOw_HwwqBvP861MjdPLkhCBAm0%3D/1734515344000,0,21,29,29,21,55,27,49,64,22,16,1,2,0,1,0,8,1,3,43992,54165,12.4,14.0,696,725,27.4,28.5,-10173,10173,1735.738775510204,2137.122448979592,Maokai,Viego,Katarina,Draven,Tahm Kench,Jax,Warwick,Aurora,Caitlyn,Bard,Doran's Shield,Fimbulwinter,Thornmail,Refillable Potion,Plated Steelcaps,Ruby Crystal,Oracle Lens,Sundered Sky,Kraken Slayer,Boots of Swiftness,Tunneler,Ruby Crystal,Pickaxe,Oracle Lens,Dark Seal,Refillable Potion,Sorcerer's Shoes,Lich Bane,Shadowflame,Needlessly Large Rod,Oracle Lens,Doran's Blade,Bloodthirster,Berserker's Greaves,Long Sword,B. F. Sword,Pickaxe,Farsight Alteration,Heartsteel,Plated Steelcaps,Bloodsong,Unending Despair,No_Item,No_Item,Oracle Lens,Trinity Force,Doran's Shield,Mercury's Treads,Sundered Sky,Pickaxe,Tunneler,Stealth Ward,Stridebreaker,Frozen Heart,No_Item,No_Item,No_Item,Plated Steelcaps,Oracle Lens,Doran's Ring,Control Ward,Malignance,Liandry's Torment,Cosmic Drive,Sorcerer's Shoes,Farsight Alteration,Zeal,Berserker's Greaves,Yun Tal Wildarrows,Lord Dominik's Regards,Infinity Edge,Control Ward,Farsight Alteration,Locket of the Iron Solari,Bloodsong,Heartsteel,No_Item,Boots of Swiftness,Glowing Mote,Oracle Lens,Grasp of the Undying,Sorcery,Conqueror,Inspiration,Electrocute,Precision,Lethal Tempo,Domination,Grasp of the Undying,Inspiration,Grasp of the Undying,Sorcery,Press the Attack,Sorcery,Electrocute,Sorcery,Lethal Tempo,Sorcery,Arcane Comet,Inspiration,Flash,Teleport,Smite,Flash,Flash,Teleport,Flash,Barrier,Ignite,Flash,Flash,Teleport,Flash,Smite,Flash,Teleport,Flash,Cleanse,Flash,Exhaust,1,5,0,0,1,1
https://www.op.gg/summoners/euw/Hannover-EUW/matches/uRd1PvnOddqwYNqNMbzUJGNzrSJWzthOY5ZWnWoq5Gg%3D/1734450168000,1,29,11,11,29,16,44,60,46,13,15,1,1,0,0,5,1,1,1,43827,33913,11.4,10.4,631,602,32.4,31.0,9914,-9914,2250.575675675676,1741.4783783783785,Darius,Skarner,Swain,Viktor,Pyke,Sylas,Master Yi,Ezreal,Vayne,Leona,Stridebreaker,Sterak's Gage,No_Item,Boots of Swiftness,No_Item,No_Item,Oracle Lens,No_Item,Heartsteel,Control Ward,Frozen Heart,Ruby Crystal,Mercury's Treads,Oracle Lens,Doran's Ring,Blackfire Torch,Boots of Swiftness,Aether Wisp,Fiendish Codex,No_Item,Stealth Ward,Needlessly Large Rod,Sorcerer's Shoes,Needlessly Large Rod,Liandry's Torment,Blackfire Torch,Doran's Ring,Farsight Alteration,Umbral Glaive,Boots of Swiftness,Celestial Opposition,Rectrix,Long Sword,Long Sword,Oracle Lens,Doran's Shield,Mercury's Treads,Cosmic Drive,Hextech Rocketbelt,No_Item,No_Item,Oracle Lens,Guinsoo's Rageblade,Blade of The Ruined King,Boots,No_Item,No_Item,No_Item,Stealth Ward,Doran's Blade,Caulfield's Warhammer,Tear of the Goddess,Trinity Force,Ionian Boots of Lucidity,Long Sword,Farsight Alteration,Blade of The Ruined King,Berserker's Greaves,Recurve Bow,Doran's Blade,No_Item,No_Item,Stealth Ward,Celestial Opposition,Locket of the Iron Solari,Refillable Potion,Mercury's Treads,No_Item,No_Item,Oracle Lens,Conqueror,Sorcery,Grasp of the Undying,Inspiration,Conqueror,Resolve,Summon Aery,Resolve,Hail of Blades,Resolve,Conqueror,Resolve,Lethal Tempo,Domination,Conqueror,Sorcery,Press the Attack,Sorcery,Aftershock,Inspiration,Flash,Ghost,Flash,Smite,Ghost,Flash,Flash,Teleport,Ignite,Flash,Flash,Teleport,Flash,Smite,Flash,Barrier,Flash,Ghost,Flash,Ignite,1,5,0,0,1,0
https://www.op.gg/summoners/euw/Hannover-EUW/matches/uRd1PvnOddrBHr_3sMjlLXuFk0-kORrbzDhdVlZwFIQ%3D/1734446815000,0,20,38,38,20,59,32,56,58,15,19,0,3,0,0,2,7,0,3,39824,49885,11.0,12.4,593,633,27.0,28.9,-10061,10061,1816.5333333333333,2275.4561403508774,Dr. Mundo,Udyr,Corki,Ashe,Renata Glasc,Cho'Gath,Master Yi,Viktor,Jhin,Rell,Doran's Shield,Boots of Swiftness,Warmog's Armor,Giant's Belt,Giant's Belt,No_Item,Oracle Lens,Unending Despair,Dark Seal,Liandry's Torment,Plated Steelcaps,Negatron Cloak,Ruby Crystal,Oracle Lens,Doran's Blade,Zeal,Muramana,Trinity Force,Slightly Magical Footwear,No_Item,Farsight Alteration,Doran's Blade,Refillable Potion,Statikk Shiv,Runaan's Hurricane,Berserker's Greaves,No_Item,Farsight Alteration,Locket of the Iron Solari,Solstice Sleigh,Ionian Boots of Lucidity,Kindlegem,Forbidden Idol,No_Item,Oracle Lens,Unending Despair,Control Ward,Heartsteel,Tear of the Goddess,Boots of Swiftness,No_Item,Oracle Lens,Guinsoo's Rageblade,Blade of The Ruined King,Tiamat,Kraken Slayer,Berserker's Greaves,Tunneler,Farsight Alteration,Cryptbloom,Ionian Boots of Lucidity,No_Item,Aether Wisp,Blackfire Torch,Liandry's Torment,Farsight Alteration,Boots of Swiftness,The Collector,Youmuu's Ghostblade,Cloak of Agility,Last Whisper,No_Item,Farsight Alteration,Mikael's Blessing,Boots of Swiftness,Celestial Opposition,No_Item,Ardent Censer,No_Item,Oracle Lens,Grasp of the Undying,Inspiration,Conqueror,Inspiration,Conqueror,Inspiration,Lethal Tempo,Inspiration,Guardian,Domination,Grasp of the Undying,Inspiration,Lethal Tempo,Domination,Summon Aery,Precision,Dark Harvest,Precision,Aftershock,Inspiration,Ghost,Teleport,Flash,Smite,Teleport,Flash,Cleanse,Flash,Heal,Flash,Flash,Teleport,Flash,Smite,Teleport,Flash,Flash,Cleanse,Ignite,Flash,0,2,0,1,4,2
https://www.op.gg/summoners/euw/Hannover-EUW/matches/uRd1PvnOddqQLsOFW6K4RSI0s8FpwAcUSyelcRRd_as%3D/1734444797000,0,15,25,25,16,39,14,53,63,22,19,0,3,0,0,1,4,0,3,42464,48373,12.0,13.4,773,794,32.9,33.8,-5909,5909,1808.0375000000001,2059.6316406250003,Gragas,Hecarim,Yone,Kog'Maw,Tahm Kench,Riven,Vi,Viktor,Jinx,Milio,Doran's Ring,Cosmic Drive,Tear of the Goddess,Sorcerer's Shoes,Fiendish Codex,No_Item,Farsight Alteration,Spear of Shojin,Eclipse,Plated Steelcaps,Steel Sigil,No_Item,No_Item,Oracle Lens,Stridebreaker,Cloak of Agility,Berserker's Greaves,No_Item,Blade of The Ruined King,No_Item,Farsight Alteration,Blade of The Ruined King,Guinsoo's Rageblade,Hearthbound Axe,No_Item,No_Item,Plated Steelcaps,Farsight Alteration,Chain Vest,Locket of the Iron Solari,Celestial Opposition,Control Ward,Kindlegem,Plated Steelcaps,Oracle Lens,Doran's Blade,Eclipse,Mercury's Treads,Death's Dance,Ruby Crystal,Caulfield's Warhammer,Farsight Alteration,Sundered Sky,Randuin's Omen,Control Ward,Long Sword,Boots,No_Item,Oracle Lens,Doran's Ring,Blackfire Torch,Needlessly Large Rod,Liandry's Torment,Ionian Boots of Lucidity,Needlessly Large Rod,Farsight Alteration,Berserker's Greaves,The Collector,Doran's Blade,Infinity Edge,Last Whisper,Cloak of Agility,Farsight Alteration,Ardent Censer,Ionian Boots of Lucidity,Dream Maker,Kindlegem,Glowing Mote,Amplifying Tome,Oracle Lens,Arcane Comet,Inspiration,Phase Rush,Precision,Fleet Footwork,Resolve,Lethal Tempo,Resolve,Guardian,Inspiration,Conqueror,Inspiration,Conqueror,Domination,First Strike,Sorcery,Lethal Tempo,Sorcery,Summon Aery,Resolve,Flash,Teleport,Ghost,Smite,Flash,Teleport,Flash,Barrier,Ignite,Flash,Flash,Teleport,Smite,Flash,Teleport,Flash,Barrier,Flash,Heal,Flash,1,5,0,0,1,0
